"Language_ID","boundness","boundness_st","ISO","Informativity","informativity_st","island_endemic","L1_pop","area","min_dist11k","min_dist25k","min_distCont"
"tsis1238",0.423076923076923,0.771783075186382,"tsw",0.26530612244898,-0.493676907652677,FALSE,100000,5757.05895572709,0,0,0
"tsog1243",0.423076923076923,0.771783075186382,"tsv",0.333333333333333,0.342686094967434,FALSE,12000,7969.47358684211,0,0,0
"tson1249",0.230769230769231,-0.595454084634002,"tso",0.270833333333333,-0.425722413689794,FALSE,3990000,105537.160708331,0,0,0
"tswa1253",0.541666666666667,1.61491265707562,"tsn",0.355555555555556,0.61589800915667,FALSE,5181700,674493.488496301,0,0,0
"tswa1255",0.41304347826087,0.700448962500101,"tsc",0.295454545454545,-0.123016031491491,FALSE,1160000,98388.7106723781,0,0,0
"tuba1278",0.44,0.892099945250576,"tub",0.261904761904762,-0.535495057783683,FALSE,5,18621.2421994209,0,0,0
"tugu1245",0.239130434782609,-0.536008990728768,"tzn",0.325,0.24023162714647,TRUE,1200,208.634473138489,50469.2681899314,50469.2681899314,643115.676015607
"tuka1248",0.358490566037736,0.312597764907083,"khc",0.463414634146341,1.94197534875809,TRUE,120000,245.649729675148,117774.481989469,117774.481989469,954878.093804864
"tuki1240",0.490196078431372,1.24897565253546,"bag",0.318181818181818,0.156405244383864,FALSE,26000,1605.19969405438,0,0,0
"tula1252",0.4,0.607714616007936,"tul",0.264150943396226,-0.507879298263208,FALSE,30000,421.34613150428,0,0,0
"tulu1258",0.313725490196078,-0.00566550588795424,"tcy",0.340909090909091,0.435826520259219,FALSE,1720000,6971.54674570169,0,0,0
"tung1290",0.192307692307692,-0.868901516598079,"lcm",0.326086956521739,0.253595253383987,TRUE,12000,1217.6763597941,208066.752571962,208066.752571962,1190890.76584221
"tuni1252",0.354166666666667,0.281856426250744,"tun",0.326086956521739,0.253595253383987,FALSE,0,61481.0714982152,0,0,0
"tunn1238",0.365384615384615,0.361611927240267,"tqq",0.291666666666667,-0.169586244137384,FALSE,23000,9377.65481508139,0,0,0
